scene_name,shape_policy,method_name,psf_name,sigma,kernel_size,downsampling_ratio,msi_band_count,spatial_snr,spectral_snr,fwhm_factor,seed,gt_shape,lr_hsi_shape,hr_msi_shape,prediction_clipped,prediction_clip_min,prediction_clip_max,framework,training_time_sec,inference_time_sec,num_parameters,flops,gpu_memory_mb,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM,status,error,runtime_seconds
DC_data,strict,SpectraLift,gaussian,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,568.4243366629817,1.3587259841151536,33471,26155024641,nan,0.015304151599521212,36.247129249635954,0.9878751799034994,0.9789417810974376,3.7524621026722493,2.1065673828125,success,,786.4798087063245
DC_data,strict,SpectraLift,gaussian,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,570.7187470421195,1.3651775661855936,33535,26205323521,nan,0.011600478596082575,38.624078060241516,0.9910819008567378,0.9786700472515527,3.3023595155840337,1.8010364770889282,success,,788.3617398031056
DC_data,strict,SpectraLift,gaussian,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,570.4048778838478,1.5009376970119774,33791,26406519041,nan,0.007298270795375066,42.53789050006371,0.9947977970370773,0.9780077008265945,3.501165671873406,1.211143970489502,success,,794.0967025808059
DC_data,strict,SpectraLift,gaussian,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,501.65508786728606,1.4507767651230097,33471,26155024641,nan,0.015199133754080753,36.306811383418996,0.9881517663108967,0.9785161446570696,3.3531821486636866,2.117084503173828,success,,717.4647782039829
DC_data,strict,SpectraLift,gaussian,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,503.74214448127896,1.4690708280541003,33535,26205323521,nan,0.012022863424004222,38.31804640748975,0.9911070569700035,0.9776013625844654,4.493087756973277,1.8649139404296875,success,,720.6783681032248
DC_data,strict,SpectraLift,gaussian,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,453.3907814701088,1.4116274695843458,33791,26406519041,nan,0.007413825850183709,42.40807712980755,0.9947572982584526,0.9765354634546449,3.694195392945976,1.2547105550765991,success,,669.7517289859243
DC_data,strict,SpectraLift,moffat,3.4,15,4,3,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,566.7772552277893,1.434611877426505,33471,26155024641,nan,0.01318607427364216,37.525847592972056,0.990531773282814,0.9803306254185903,3.0324375824783982,1.8669353723526,success,,781.0838067652658
DC_data,strict,SpectraLift,moffat,3.4,15,4,4,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,568.5970358890481,1.3616756927222013,33535,26205323521,nan,0.010867227357446448,39.182595257338576,0.9920472710099681,0.9805119245115052,2.875958894150198,1.6877845525741577,success,,784.7505143862218
DC_data,strict,SpectraLift,moffat,3.4,15,4,8,35.0,40.0,4.2,42,"(1280, 307, 191)","(320, 76, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,571.7729080067948,1.3807899672538042,33791,26406519041,nan,0.006904388291635188,43.00418835370824,0.9953078750898608,0.9798931983928791,3.0465269693127386,1.1604044437408447,success,,785.8418770828284
DC_data,strict,SpectraLift,moffat,3.4,15,8,3,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 3)",False,0.0,1.0,tensorflow,482.253137068823,1.4798893802799284,33471,26155024641,nan,0.014082614874200573,36.961607628606416,0.9899932408667531,0.9801401074481217,3.107089700707462,1.957068681716919,success,,694.408130383119
DC_data,strict,SpectraLift,moffat,3.4,15,8,4,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 4)",False,0.0,1.0,tensorflow,911.3621818087995,1.4268569839186966,33535,26205323521,nan,0.011329485332489274,38.82667002430852,0.9918553654835788,0.9790754040260508,3.6087622558851744,1.7837680578231812,success,,1125.2233922812156
DC_data,strict,SpectraLift,moffat,3.4,15,8,8,30.0,40.0,4.2,42,"(1280, 307, 191)","(160, 38, 191)","(1280, 307, 8)",False,0.0,1.0,tensorflow,321.94765089824796,1.4143959912471473,33791,26406519041,nan,0.007274864736727581,42.56619390404971,0.9949981481814016,0.9781768428836044,3.308315937557746,1.2197825908660889,success,,534.838518820703
